[User ID]	[Service ID]	[TP]	[User Country]	[User AS]	[Service Country]	[Service AS]
0	1	17.543	29	115	70	118
31	1	14.134	2	53	70	118
37	1	19.23	29	129	70	118
58	1	18.181	29	45	70	118
63	1	16.949	29	57	70	118
108	1	16.129	29	120	70	118
123	1	4.489	23	121	70	118
139	1	6.051	0	4	70	118
148	1	11.73	9	113	70	118
159	1	7.59	4	35	70	118
170	1	16.666	29	83	70	118
195	1	12.779	19	136	70	118
199	1	19.23	29	16	70	118
239	1	13.422	27	101	70	118
254	1	11.461	20	40	70	118
255	1	11.173	25	123	70	118
262	1	12.861	9	113	70	118
275	1	10.752	5	76	70	118
277	1	12.578	6	67	70	118
278	1	12.658	19	102	70	118
322	1	18.018	29	85	70	118
0	31	0.505	29	115	23	334
63	31	4.431	29	57	23	334
71	31	4.081	29	114	23	334
82	31	2.427	26	25	23	334
111	31	4.991	14	86	23	334
113	31	5.253	16	61	23	334
129	31	0.865	11	84	23	334
166	31	3.68	29	6	23	334
190	31	2.311	25	14	23	334
266	31	2.336	8	49	23	334
279	31	3.397	19	102	23	334
286	31	4.103	29	69	23	334
311	31	0.26	29	111	23	334
320	31	8.982	29	88	23	334
331	31	2.457	22	13	23	334
338	31	4.807	29	87	23	334
0	33	7.042	29	115	23	334
1	33	9.404	29	115	23	334
26	33	7.594	29	104	23	334
47	33	10.526	29	34	23	334
49	33	7.025	29	63	23	334
57	33	10.676	29	45	23	334
74	33	4.838	29	127	23	334
77	33	6.741	15	17	23	334
98	33	6.651	9	113	23	334
99	33	6.637	9	113	23	334
100	33	5.464	29	103	23	334
135	33	6.493	25	123	23	334
143	33	5.555	9	12	23	334
144	33	7.125	28	126	23	334
153	33	6.06	9	113	23	334
191	33	8.746	29	68	23	334
197	33	13.761	16	32	23	334
200	33	6.849	8	49	23	334
248	33	8.67	29	116	23	334
271	33	6.896	19	10	23	334
294	33	7.537	29	96	23	334
322	33	9.771	29	85	23	334
327	33	11.406	17	36	23	334
336	33	7.518	29	117	23	334
338	33	9.646	29	87	23	334
0	38	7.702	29	115	1	557
1	38	85.877	29	115	1	557
26	38	61.559	29	104	1	557
38	38	68.493	29	129	1	557
110	38	4.7	14	86	1	557
129	38	106.635	11	84	1	557
138	38	39.647	0	4	1	557
143	38	7.12	9	12	1	557
146	38	45.965	8	125	1	557
150	38	43.103	9	113	1	557
167	38	43.646	9	113	1	557
190	38	40.504	25	14	1	557
208	38	35.405	12	43	1	557
209	38	56.603	29	99	1	557
222	38	81.818	29	59	1	557
239	38	19.719	27	101	1	557
241	38	43.731	27	101	1	557
257	38	35.913	18	50	1	557
320	38	83.487	29	88	1	557
0	50	6.116	29	115	1	43
23	50	10.928	29	119	1	43
35	50	7.49	29	62	1	43
47	50	9.216	29	34	1	43
78	50	4.705	9	113	1	43
81	50	5.555	25	123	1	43
88	50	5.319	27	101	1	43
93	50	3.007	29	97	1	43
97	50	5.434	9	113	1	43
100	50	7.547	29	103	1	43
112	50	5.128	16	95	1	43
131	50	4.938	11	84	1	43
135	50	5.54	25	123	1	43
163	50	0.643	29	39	1	43
189	50	5.037	25	14	1	43
190	50	5.063	25	14	1	43
199	50	8.163	29	16	1	43
211	50	5.479	25	123	1	43
223	50	6.666	29	59	1	43
268	50	5.78	12	42	1	43
269	50	5.617	28	126	1	43
293	50	11.904	29	96	1	43
304	50	10.638	16	60	1	43
0	77	0.687	29	115	1	548
23	77	5.136	29	119	1	548
36	77	4.005	29	71	1	548
83	77	3.009	9	113	1	548
